Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.02    100.17     0.02                             __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > std::__unguarded_partition_pivot<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*)>(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*))
  0.02    100.19     0.02                             void std::fill<unsigned char*, int>(unsigned char*, unsigned char*, int const&)
  0.02    100.21     0.02                             __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > std::__find<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&, std::random_access_iterator_tag)
  0.02    100.23     0.02                             void std::_Destroy<std::string>(std::string*)
  0.02    100.25     0.02                             sqrt
  0.01    100.27     0.01                             RichText::prefix(std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > const&, unsigned int, wchar_t const*)
  0.01    100.28     0.01                             void remove_if<std::vector<BehaviorMSGQueue::MSG, std::allocator<BehaviorMSGQueue::MSG> >, bool (*)(BehaviorMSGQueue::MSG const&)>(std::vector<BehaviorMSGQueue::MSG, std::allocator<BehaviorMSGQueue::MSG> >&, bool (*)(BehaviorMSGQueue::MSG const&))
  0.01    100.29     0.01                             PainterGUI::TextEngine::~TextEngine()
  0.01    100.30     0.01                             MiniMapView::lineTo(Tempest::Pixmap&, int, int, int, int, Tempest::Pixmap::Pixel)
  0.01    100.31     0.01                             FileSerialize::fwrite(void const*, unsigned int, unsigned int, FileSerialize::File*)
  0.01    100.32     0.01                             FileSerialize& FileSerialize::operator+<int>(int&)
  0.01    100.33     0.01                             FileSerialize& FileSerialize::operator+<unsigned int>(unsigned int&)
  0.01    100.33     0.01                             GameObjectView::init()
  0.01    100.35     0.01                             GameObjectView::loadView(Tempest::Model<WaterVertex> const&)
  0.01    100.36     0.01                             void GameObjectView::serialize<SmallGraphicsObject>(GameSerializer&, SmallGraphicsObject*, bool)
  0.01    100.36     0.01                             GameObjectView::GameObjectView(Scene&, World&, ProtoObject const&, PrototypesLoader const&)
  0.01    100.38     0.01                             GraphicsSystem::renderScene(Scene const&, Tempest::AbstractCamera const&, Tempest::Texture2d*, Tempest::Texture2d&, int, Tempest::Texture2d*, int, bool)
  0.01    100.39     0.01                             GraphicsSystem::drawTranscurent(Tempest::Texture2d&, Tempest::Texture2d&, Tempest::Texture2d&, Scene const&, OcTree<Tempest::AbstractGraphicObject<Material> const*> const&)
  0.01    100.40     0.01                             GraphicsSystem::copy(Tempest::Texture2d&, Tempest::AbstractTexture::Format::Type, Tempest::Texture2d const&, int, int)
  0.01    100.41     0.01                             GraphicsSystem::copy(Tempest::Texture2d&, Tempest::Texture2d const&)
  0.01    100.42     0.01                             GraphicsSystem::copy(Tempest::Texture2d&, Tempest::Texture2d const&, int, int)
  0.01    100.43     0.01                             GraphicsSystem::bloom(Tempest::Texture2d&, Tempest::Texture2d const&)
  0.01    100.44     0.01                             GraphicsSystem::gauss(Tempest::Texture2d&, Tempest::Texture2d const&, int, int, float, float)
  0.01    100.44     0.01                             GraphicsSystem::ssaoGMap(Scene const&, Tempest::Texture2d&, bool)
  0.01    100.46     0.01                             GraphicsSystem::shadowMap(int, int)
  0.01    100.47     0.01                             GraphicsSystem::smMatSize(Scene const&, float)
  0.01    100.47     0.01                             bool AbstractXMLReader::readIf<int>(TiXmlElement*, std::string const&, int&)
  0.01    100.49     0.01                             ParticleSystemEngine::exec(Tempest::Matrix4x4 const&, Tempest::Matrix4x4 const&, int, bool)
  0.01    100.50     0.01                             Game::curWorld()
  0.01    100.51     0.01                             Scene::onObjectAdded(Tempest::AbstractGraphicObject<Material> const*)
  0.01    100.52     0.01                             World::projectUnit(GameObject&, Tempest::Matrix4x4 const&, int, int)
  0.01    100.53     0.01                             World::paintHUD(Tempest::Painter&, int, int)
  0.01    100.54     0.01                             GUIPass::makeRS(Tempest::BlendMode)
  0.01    100.55     0.01                             HintSys::hint()
  0.01    100.56     0.01                             std::string Lexical::upcast<int>(int const&)
  0.01    100.57     0.01                             MainGui::setupMinimap(World*)
  0.01    100.58     0.01                             MainGui::renderMinimap()
  0.01    100.58     0.01                             Tempest::IndexBuffer<unsigned short>::IndexBuffer()
  0.01    100.60     0.01                             Tempest::IndexBuffer<unsigned short>::~IndexBuffer()
  0.01    100.61     0.01                             Tempest::RenderState::setZWriting(bool)
  0.01    100.61     0.01                             Tempest::RenderState::RenderState(Tempest::RenderState::Preset)
  0.01    100.63     0.01                             Tempest::RenderState::RenderState(Tempest::RenderState const&)
  0.01    100.64     0.01                             Tempest::RenderState::operator=(Tempest::RenderState const&)
  0.01    100.65     0.01                             Tempest::ShaderInput::set(char const*, float const*, int)
  0.01    100.66     0.01                             Tempest::LinearLayout::typeV(Tempest::Widget const*)
  0.01    100.67     0.01                             void Tempest::UniformTable::add<float>(float const*, int, std::string const&, Tempest::UniformTable::Taget)
  0.01    100.68     0.01                             Tempest::UniformTable::addImpl(Tempest::Texture2d const&, char const*, Tempest::UniformTable::Taget)
  0.01    100.69     0.01                             Tempest::AbstractScene<Tempest::AbstractGraphicObject<Material> >::addObject(Tempest::AbstractGraphicObject<Material>*)
  0.01    100.69     0.01                             Tempest::GraphicObject<Material>::ModelPtr<Tempest::DefaultVertex>::~ModelPtr()
  0.01    100.71     0.01                             Tempest::AbstractCamera::~AbstractCamera()
  0.01    100.72     0.01                             Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::ImplManip::ImplManip(Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>*)
  0.01    100.72     0.01                             Tempest::DirectionLight::operator=(Tempest::DirectionLight const&)
  0.01    100.74     0.01                             Tempest::AbstractTexture::operator=(Tempest::AbstractTexture const&)
  0.01    100.75     0.01                             Tempest::VertexBufferBase::VertexBufferBase()
  0.01    100.76     0.01                             Tempest::VertexBufferBase::operator=(Tempest::VertexBufferBase const&)
  0.01    100.77     0.01                             Tempest::VertexBufferHolder::lockBuffer(Tempest::AbstractAPI::VertexBuffer*, int, int)
  0.01    100.78     0.01                             Tempest::Bind::UserFont::UserFont(int)
  0.01    100.79     0.01                             Tempest::Rect::Rect(int, int, int, int)
  0.01    100.80     0.01                             Tempest::Model<Tempest::DefaultVertex>::Model(Tempest::Model<Tempest::DefaultVertex> const&)
  0.01    100.81     0.01                             Tempest::Model<Tempest::DefaultVertex>::Model()
  0.01    100.82     0.01                             Tempest::Point::Point(int, int)
  0.01    100.83     0.01                             Tempest::Camera::Camera(Tempest::Camera const&)
  0.01    100.83     0.01                             Tempest::Detail::Ptr<Tempest::AbstractAPI::VertexBuffer*, Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::ImplManip>::delRef()
  0.01    100.85     0.01                             Tempest::Detail::Ptr<Tempest::AbstractAPI::Texture*, Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip>::~Ptr()
  0.01    100.86     0.01                             Tempest::Detail::Ptr<Tempest::AbstractAPI::Texture*, Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip>::operator=(Tempest::Detail::Ptr<Tempest::AbstractAPI::Texture*, Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip> const&)
  0.01    100.86     0.01                             Tempest::Detail::Ptr<Tempest::Pixmap::Data*, Tempest::Pixmap::DbgManip>::nonConstData()
  0.01    100.88     0.01                             Tempest::Detail::Ptr<Tempest::Pixmap::Data*, Tempest::Pixmap::DbgManip>::value()
  0.01    100.89     0.01                             Tempest::Detail::Ptr<Tempest::Pixmap::Data*, Tempest::Pixmap::DbgManip>::~Ptr()
  0.01    100.90     0.01                             void Tempest::Device::setUniform<float [2]>(Tempest::VertexShader&, Tempest::Uniform<float [2]> const&)
  0.01    100.91     0.01                             void Tempest::Device::setUniform<float [3]>(Tempest::FragmentShader&, Tempest::Uniform<float [3]> const&)
  0.01    100.92     0.01                             void Tempest::Device::drawIndexed<WaterVertex, unsigned short>(Tempest::AbstractAPI::PrimitiveType, Tempest::VertexShader const&, Tempest::FragmentShader const&, Tempest::VertexDeclaration const&, Tempest::VertexBuffer<WaterVertex> const&, Tempest::IndexBuffer<unsigned short> const&, int, int, int)
  0.01    100.93     0.01                             Tempest::Device::bind(Tempest::VertexShader const&)
  0.01    100.94     0.01                             Tempest::Device::bind(Tempest::VertexDeclaration const&)
  0.01    100.94     0.01                             Tempest::Render::setRenderState(Tempest::RenderState const&)
  0.01    100.96     0.01                             Tempest::Render::draw(Tempest::AbstractSceneObject const&)
  0.01    100.97     0.01                             Tempest::Uniform<float [2]>::set(float, float)
  0.01    100.97     0.01                             Tempest::Uniform<float [3]>::set(float const*)
  0.01    100.99     0.01                             Tempest::Uniform<float [3]>::set(float, float, float)
  0.01    101.00     0.01                             Tempest::Matrix4x4::mul(Tempest::Matrix4x4 const&)
  0.01    101.01     0.01                             Tempest::Matrix4x4::identity()
  0.01    101.02     0.01                             Tempest::Texture2d::~Texture2d()
  0.01    101.03     0.01                             Tempest::Texture2d::operator=(Tempest::Texture2d const&)
  0.01    101.04     0.01                             Terrain::buildGeometry()
  0.01    101.05     0.01                             Terrain::computeEnableMap()
  0.01    101.06     0.01                             array2d<unsigned char>::LineRef::LineRef()
  0.01    101.07     0.01                             Resource::texture(std::string const&)
  0.01    101.08     0.01                             Scenario::renderMinimap()
  0.01    101.08     0.01                             Scenario::unProject(int, int)
  0.01    101.10     0.01                             Serialize& Serialize::operator+<unsigned int>(unsigned int&)
  0.01    101.11     0.01                             __gnu_cxx::new_allocator<ProtoObject::View>::new_allocator(__gnu_cxx::new_allocator<ProtoObject::View> const&)
  0.01    101.11     0.01                             _ZN9__gnu_cxx13new_allocatorIN7GUIPass5StateEE9constructIS2_IRKS2_EEEvPT_DpOT0_
  0.01    101.13     0.01                             _ZN9__gnu_cxx13new_allocatorIN7GUIPass6VertexEE9constructIS2_IRKS2_EEEvPT_DpOT0_
  0.01    101.14     0.01                             _ZN9__gnu_cxx13new_allocatorIN7Tempest5PointEE9constructIS2_IRKS2_EEEvPT_DpOT0_
  0.01    101.15     0.01                             __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<WaterVertex const, unsigned short>, true> >::allocate(unsigned int, void const*)
  0.01    101.16     0.01                             void __gnu_cxx::new_allocator<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*>::destroy<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*>(Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref**)
  0.01    101.17     0.01                             __gnu_cxx::new_allocator<std::string>::new_allocator()
  0.01    101.18     0.01                             __gnu_cxx::__alloc_traits<std::allocator<std::string> >::_S_select_on_copy(std::allocator<std::string> const&)
  0.01    101.19     0.01                             __gnu_cxx::__normal_iterator<char const*, std::string>::operator++()
  0.01    101.19     0.01                             __gnu_cxx::__normal_iterator<GUIPass::GeometryBlock*, std::vector<GUIPass::GeometryBlock, std::allocator<GUIPass::GeometryBlock> > >::__normal_iterator(GUIPass::GeometryBlock* const&)
  0.01    101.21     0.01                             __gnu_cxx::__normal_iterator<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref**, std::vector<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*, std::allocator<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*> > >::__normal_iterator(Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref** const&)
  0.01    101.22     0.01                             __gnu_cxx::__exchange_and_add_dispatch(int*, int)
  0.01    101.22     0.01                             bool __gnu_cxx::operator==<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > const&, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > const&)
  0.01    101.24     0.01                             __gnu_cxx::__normal_iterator<wchar_t*, std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > >::difference_type __gnu_cxx::operator-<wchar_t*, std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > >(__gnu_cxx::__normal_iterator<wchar_t*, std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > > const&, __gnu_cxx::__normal_iterator<wchar_t*, std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > > const&)
  0.01    101.25     0.01                             bool __gnu_cxx::operator!=<GameObject**, std::vector<GameObject*, std::allocator<GameObject*> > >(__gnu_cxx::__normal_iterator<GameObject**, std::vector<GameObject*, std::allocator<GameObject*> > > const&, __gnu_cxx::__normal_iterator<GameObject**, std::vector<GameObject*, std::allocator<GameObject*> > > const&)
  0.01    101.26     0.01                             GameObject::team() const
  0.01    101.27     0.01                             Scene::mainObjects() const
  0.01    101.28     0.01                             OcTree<Tempest::AbstractGraphicObject<Material> const*>::POcTree::operator bool() const
  0.01    101.29     0.01                             OcTree<Tempest::AbstractGraphicObject<Material> const*>::POcTree::operator*() const
  0.01    101.30     0.01                             Player::hasHostControl() const
  0.01    101.31     0.01                             Player::gold() const
  0.01    101.32     0.01                             Tempest::AbstractScene<Tempest::AbstractGraphicObject<Material> >::camera() const
  0.01    101.33     0.01                             Tempest::GraphicObject<Material>::ModelPtr<WaterVertex>::draw(Tempest::Render&) const
  0.01    101.33     0.01                             Tempest::DirectionLight::zDirection() const
  0.01    101.35     0.01                             Tempest::PostProcessHelper::drawFullScreenQuad(Tempest::Device&, Tempest::VertexShader&, Tempest::FragmentShader&) const
  0.01    101.36     0.01                             Tempest::Bind::UserFont::fetchLeter(Resource&, wchar_t) const
  0.01    101.36     0.01                             Tempest::Bind::UserFont::LMap::find(wchar_t) const
  0.01    101.38     0.01                             Tempest::Model<MVertex>::primitiveType() const
  0.01    101.39     0.01                             Tempest::Model<MVertex>::vertexes() const
  0.01    101.40     0.01                             Tempest::Detail::Ptr<Tempest::Pixmap::Data*, Tempest::Pixmap::DbgManip>::isNull() const
  0.01    101.41     0.01                             Tempest::Pixmap::height() const
  0.01    101.42     0.01                             Tempest::Texture2d::width() const
  0.01    101.43     0.01                             Tempest::Texture2d::handle() const
  0.01    101.44     0.01                             array2d<TerrainChunk>::width() const
  0.01    101.44     0.01                             Material::terrainMain(Tempest::RenderState&, Tempest::Matrix4x4 const&, Tempest::AbstractCamera const&, Tempest::UniformTable&) const
  0.01    101.46     0.01                             Material::water(Tempest::RenderState&, Tempest::Matrix4x4 const&, Tempest::AbstractCamera const&, Tempest::UniformTable&) const
  0.01    101.47     0.01                             __gnu_cxx::__normal_iterator<WayFindRequest::TgGroup*, std::vector<WayFindRequest::TgGroup, std::allocator<WayFindRequest::TgGroup> > >::base() const
  0.01    101.47     0.01                             __gnu_cxx::__normal_iterator<Tempest::Rect*, std::vector<Tempest::Rect, std::allocator<Tempest::Rect> > >::operator-(int const&) const
  0.01    101.49     0.01                             __gnu_cxx::__normal_iterator<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref**, std::vector<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*, std::allocator<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*> > >::operator-(int const&) const
  0.01    101.50     0.01                             std::_Hashtable<Tempest::AbstractGraphicObject<Material> const*, std::pair<Tempest::AbstractGraphicObject<Material> const* const, OcTree<Tempest::AbstractGraphicObject<Material> const*>*>, std::allocator<std::pair<Tempest::AbstractGraphicObject<Material> const* const, OcTree<Tempest::AbstractGraphicObject<Material> const*>*> >, std::_Select1st<std::pair<Tempest::AbstractGraphicObject<Material> const* const, OcTree<Tempest::AbstractGraphicObject<Material> const*>*> >, std::equal_to<Tempest::AbstractGraphicObject<Material> const*>, OcTree<Tempest::AbstractGraphicObject<Material> const*>::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::_M_find_before_node(unsigned int, Tempest::AbstractGraphicObject<Material> const* const&, unsigned int) const
  0.01    101.51     0.01                             std::_Hashtable<std::string, std::pair<std::string const, Resource::Box<Resource::Texture>::ToLoadPromision>, std::allocator<std::pair<std::string const, Resource::Box<Resource::Texture>::ToLoadPromision> >, std::_Select1st<std::pair<std::string const, Resource::Box<Resource::Texture>::ToLoadPromision> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::_M_find_before_node(unsigned int, std::string const&, unsigned int) const
  0.01    101.52     0.01                             std::_Hashtable<std::string, std::pair<std::string const, Resource::Texture>, std::allocator<std::pair<std::string const, Resource::Texture> >, std::_Select1st<std::pair<std::string const, Resource::Texture> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::_M_bucket_index(std::string const&, unsigned int) const
  0.01    101.53     0.01                             std::_Hashtable<std::string, std::pair<std::string const, std::shared_ptr<ProtoObject> >, std::allocator<std::pair<std::string const, std::shared_ptr<ProtoObject> > >, std::_Select1st<std::pair<std::string const, std::shared_ptr<ProtoObject> > >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::_M_find_before_node(unsigned int, std::string const&, unsigned int) const
  0.01    101.54     0.01                             std::_Select1st<std::pair<MVertex const, unsigned short> >::operator()(std::pair<MVertex const, unsigned short>&) const
  0.01    101.55     0.01                             std::_Select1st<std::pair<std::string const, PixmapsPool::TexturePtr> >::operator()(std::pair<std::string const, PixmapsPool::TexturePtr>&) const
  0.01    101.56     0.01                             std::unique_ptr<Terrain, std::default_delete<Terrain> >::operator->() const
  0.01    101.57     0.01                             std::__shared_ptr<GameObject, (__gnu_cxx::_Lock_policy)2>::operator*() const
  0.01    101.58     0.01                             std::__shared_ptr<ProtoObject, (__gnu_cxx::_Lock_policy)2>::get() const
  0.01    101.58     0.01                             std::__shared_ptr<SpatialIndex, (__gnu_cxx::_Lock_policy)2>::operator->() const
  0.01    101.60     0.01                             std::__shared_ptr<Player, (__gnu_cxx::_Lock_policy)2>::operator*() const
  0.01    101.61     0.01                             std::default_delete<Tempest::GraphicObject<Material> >::operator()(Tempest::GraphicObject<Material>*) const
  0.01    101.61     0.01                             std::vector<EnvObject, std::allocator<EnvObject> >::max_size() const
  0.01    101.63     0.01                             std::vector<GameMessages::MSG, std::allocator<GameMessages::MSG> >::size() const
  0.01    101.64     0.01                             std::vector<Tempest::signal<Tempest::Painter&, int, int>::Impl, std::allocator<Tempest::signal<Tempest::Painter&, int, int>::Impl> >::size() const
  0.01    101.65     0.01                             std::vector<GameObject*, std::allocator<GameObject*> >::size() const
  0.01    101.66     0.01                             std::vector<ParticleSystem*, std::allocator<ParticleSystem*> >::size() const
  0.01    101.67     0.01                             std::vector<std::string, std::allocator<std::string> >::_M_check_len(unsigned int, char const*) const
  0.01    101.68     0.01                             std::vector<std::shared_ptr<Player>, std::allocator<std::shared_ptr<Player> > >::size() const
  0.01    101.69     0.01                             std::vector<char, std::allocator<char> >::size() const
  0.01    101.69     0.01                             std::__detail::_Hash_code_base<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_extract() const
  0.01    101.71     0.01                             std::__detail::_Hash_code_base<MVertex, std::pair<MVertex const, unsigned short>, std::_Select1st<std::pair<MVertex const, unsigned short> >, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_extract() const
  0.01    101.72     0.01                             std::__detail::_Hash_code_base<MVertex, std::pair<MVertex const, unsigned short>, std::_Select1st<std::pair<MVertex const, unsigned short> >, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_hash_code(MVertex const&) const
  0.01    101.72     0.01                             std::__detail::_Hash_code_base<std::string, std::pair<std::string const, Resource::Texture>, std::_Select1st<std::pair<std::string const, Resource::Texture> >, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_h1() const
  0.01    101.74     0.01                             std::__detail::_Hashtable_base<std::string, std::pair<std::string const, Resource::Texture>, std::_Select1st<std::pair<std::string const, Resource::Texture> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_equals(std::string const&, unsigned int, std::__detail::_Hash_node<std::pair<std::string const, Resource::Texture>, true>*) const
  0.01    101.75     0.01                             std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned int, unsigned int, unsigned int) const
  0.01    101.76     0.01                             std::equal_to<MVertex>::operator()(MVertex const&, MVertex const&) const
  0.01    101.77     0.01                             std::allocator<ParticleSystem>::~allocator()
  0.01    101.78     0.01                             std::allocator<Tempest::ShaderInput::Vec<3> >::~allocator()
  0.01    101.79     0.01                             std::allocator<Tempest::signal<>::Impl>::allocator()
  0.01    101.80     0.01                             std::allocator<std::__detail::_Hash_node_base*>::~allocator()
  0.01    101.81     0.01                             std::allocator<unsigned short>::~allocator()
  0.01    101.82     0.01                             std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, std::allocator<char> const&)
  0.01    101.83     0.01                             std::string::operator=(char const*)
  0.01    101.83     0.01                             std::__detail::_Node_iterator<std::pair<WaterVertex const, unsigned short>, false, true> std::_Hashtable<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::allocator<std::pair<WaterVertex const, unsigned short> >, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, std::equal_to<WaterVertex>, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::_M_insert_bucket<std::pair<WaterVertex, unsigned short> >(std::pair<WaterVertex, unsigned short>&&, unsigned int, unsigned int)
  0.01    101.85     0.01                             std::_Hashtable<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::allocator<std::pair<WaterVertex const, unsigned short> >, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, std::equal_to<WaterVertex>, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::find(WaterVertex const&)
  0.01    101.86     0.01                             std::__detail::_Node_iterator<std::pair<Tempest::AbstractGraphicObject<Material> const* const, OcTree<Tempest::AbstractGraphicObject<Material> const*>*>, false, true> std::_Hashtable<Tempest::AbstractGraphicObject<Material> const*, std::pair<Tempest::AbstractGraphicObject<Material> const* const, OcTree<Tempest::AbstractGraphicObject<Material> const*>*>, std::allocator<std::pair<Tempest::AbstractGraphicObject<Material> const* const, OcTree<Tempest::AbstractGraphicObject<Material> const*>*> >, std::_Select1st<std::pair<Tempest::AbstractGraphicObject<Material> const* const, OcTree<Tempest::AbstractGraphicObject<Material> const*>*> >, std::equal_to<Tempest::AbstractGraphicObject<Material> const*>, OcTree<Tempest::AbstractGraphicObject<Material> const*>::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::_M_insert_bucket<std::pair<Tempest::AbstractGraphicObject<Material> const*, OcTree<Tempest::AbstractGraphicObject<Material> const*>*> >(std::pair<Tempest::AbstractGraphicObject<Material> const*, OcTree<Tempest::AbstractGraphicObject<Material> const*>*>&&, unsigned int, unsigned int)
  0.01    101.86     0.01                             std::_Head_base<0u, GUIPass*, false>::_M_head(std::_Head_base<0u, GUIPass*, false> const&)
  0.01    101.88     0.01                             std::_Head_base<0u, Terrain*, false>::_M_head(std::_Head_base<0u, Terrain*, false> const&)
  0.01    101.89     0.01                             std::_Head_base<0u, Scenario*, false>::_M_head(std::_Head_base<0u, Scenario*, false> const&)
  0.01    101.90     0.01                             std::_Head_base<0u, Tempest::GraphicObject<Material>*, false>::_Head_base()
  0.01    101.91     0.01                             std::_Iter_base<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >)
  0.01    101.92     0.01                             std::_Iter_base<MVertex*, false>::_S_base(MVertex*)
  0.01    101.93     0.01                             std::_Iter_base<float const*, false>::_S_base(float const*)
  0.01    101.94     0.01                             std::_Iter_base<unsigned char*, false>::_S_base(unsigned char*)
  0.01    101.94     0.01                             std::shared_ptr<GameObject>::~shared_ptr()
  0.01    101.96     0.01                             std::_Tuple_impl<0u, GUIPass*, std::default_delete<GUIPass> >::_M_head(std::_Tuple_impl<0u, GUIPass*, std::default_delete<GUIPass> > const&)
  0.01    101.97     0.01                             void std::_Destroy_aux<false>::__destroy<TerrainChunk::View*>(TerrainChunk::View*, TerrainChunk::View*)
  0.01    101.97     0.01                             void std::_Destroy_aux<false>::__destroy<GUIPass::State*>(GUIPass::State*, GUIPass::State*)
  0.01    101.99     0.01                             std::_Vector_base<ProtoObject::View, std::allocator<ProtoObject::View> >::_M_deallocate(ProtoObject::View*, unsigned int)
  0.01    102.00     0.01                             std::_Vector_base<BehaviorMSGQueue::MSG, std::allocator<BehaviorMSGQueue::MSG> >::_M_get_Tp_allocator()
  0.01    102.01     0.01                             std::_Vector_base<std::shared_ptr<SmallGraphicsObject>, std::allocator<std::shared_ptr<SmallGraphicsObject> > >::_M_get_Tp_allocator()
  0.01    102.02     0.01                             std::_Vector_base<char, std::allocator<char> >::_M_allocate(unsigned int)
